ReviewID,Case Master ID,Case Date,Reviewer_1,Reviewer_1_Time,Reviewer_2,Reviewer_2_Time,Secondary: Source is clear,Correct assessment?,Translation accuracy,Source has multiple meanings,Source is clear,Source contains contradictions
70,70,09/01/2023,reviewer_24,267708,reviewer_22,418859,4. Mostly clear and easy to read,No,Added information,No,5. Completely easily understood and well written,No
71,71,09/01/2023,reviewer_14,332514,reviewer_16,138486,3. Needs rereading to understand,No,Both missing and added information,No,3. Needs rereading to understand,No
72,72,09/01/2023,reviewer_7,385554,reviewer_16,49761,5. Completely easily understood and well written,Yes,Nothing missing or added to translation,No,4. Mostly clear and easy to read,No
73,73,09/01/2023,reviewer_23,294737,reviewer_29,223639,5. Completely easily understood and well written,Yes,Missing information,No,5. Completely easily understood and well written,No
74,74,09/01/2023,reviewer_23,800026,reviewer_29,459216,5. Completely easily understood and well written,Yes,Added information,No,4. Mostly clear and easy to read,No
75,75,09/01/2023,reviewer_11,482980,reviewer_19,444964,4. Mostly clear and easy to read,No,Both missing and added information,No,4. Mostly clear and easy to read,No
76,76,09/01/2023,reviewer_10,1009782,reviewer_24,575295,5. Completely easily understood and well written,No,Added information,Yes,3. Needs rereading to understand,No
77,77,09/01/2023,reviewer_19,1356903,reviewer_16,165707,5. Completely easily understood and well written,Yes,Missing information,No,4. Mostly clear and easy to read,No
78,78,09/01/2023,reviewer_23,551250,reviewer_10,113727,4. Mostly clear and easy to read,No,Both missing and added information,No,4. Mostly clear and easy to read,No
79,79,09/01/2023,reviewer_10,96671,reviewer_16,27394,5. Completely easily understood and well written,Yes,Added information,No,5. Completely easily understood and well written,No
80,80,09/01/2023,reviewer_26,465209,reviewer_14,127051,4. Mostly clear and easy to read,No,Added information,No,5. Completely easily understood and well written,No
81,81,09/01/2023,reviewer_14,25834,reviewer_26,572758,3. Needs rereading to understand,Yes,Missing information,No,3. Needs rereading to understand,No
82,82,09/01/2023,reviewer_22,82239,reviewer_29,79776,4. Mostly clear and easy to read,No,Added information,No,4. Mostly clear and easy to read,No
83,83,09/01/2023,reviewer_11,459403,reviewer_23,573207,3. Needs rereading to understand,No,Nothing missing or added to translation,Yes,3. Needs rereading to understand,No
84,84,09/01/2023,reviewer_14,761348,reviewer_26,360154,4. Mostly clear and easy to read,Yes,Added information,No,4. Mostly clear and easy to read,No
85,85,09/01/2023,reviewer_14,804071,reviewer_10,237758,5. Completely easily understood and well written,No,Nothing missing or added to translation,No,4. Mostly clear and easy to read,No
86,86,09/01/2023,reviewer_26,774039,reviewer_16,109685,4. Mostly clear and easy to read,No,Added information,No,2. Difficult to understand,No
87,87,09/01/2023,reviewer_16,66685,reviewer_19,235449,5. Completely easily understood and well written,Yes,Added information,No,5. Completely easily understood and well written,No
88,88,09/01/2023,reviewer_24,165659,reviewer_19,283773,5. Completely easily understood and well written,Yes,Added information,No,5. Completely easily understood and well written,No
89,89,09/01/2023,reviewer_14,41849,reviewer_26,951893,3. Needs rereading to understand,No,Missing information,No,3. Needs rereading to understand,No
90,90,09/01/2023,reviewer_11,1104376,reviewer_14,47495,2. Difficult to understand,Yes,Added information,No,3. Needs rereading to understand,No
91,91,09/01/2023,reviewer_23,1249460,reviewer_14,365224,4. Mostly clear and easy to read,Yes,Added information,No,2. Difficult to understand,No
92,92,09/01/2023,reviewer_16,139840,reviewer_26,136293,4. Mostly clear and easy to read,Yes,Added information,No,4. Mostly clear and easy to read,No
93,93,09/01/2023,reviewer_2,157104,reviewer_14,482985,4. Mostly clear and easy to read,Yes,Missing information,No,5. Completely easily understood and well written,No
94,94,09/01/2023,reviewer_16,42220,reviewer_14,37075,4. Mostly clear and easy to read,Yes,Nothing missing or added to translation,No,5. Completely easily understood and well written,No
95,95,09/01/2023,reviewer_24,327874,reviewer_16,62068,5. Completely easily understood and well written,No,Added information,No,5. Completely easily understood and well written,No
96,96,09/01/2023,reviewer_11,1650935,reviewer_16,80593,4. Mostly clear and easy to read,Yes,Added information,No,4. Mostly clear and easy to read,No
97,97,09/01/2023,reviewer_29,885233,reviewer_7,212245,4. Mostly clear and easy to read,Yes,Added information,No,4. Mostly clear and easy to read,No
98,98,09/01/2023,reviewer_16,124808,reviewer_22,848654,4. Mostly clear and easy to read,Yes,Added information,No,4. Mostly clear and easy to read,No
99,99,09/01/2023,reviewer_23,596626,reviewer_26,563248,4. Mostly clear and easy to read,No,Added information,No,5. Completely easily understood and well written,No
100,100,09/01/2023,reviewer_16,160169,reviewer_23,1436952,5. Completely easily understood and well written,No,Added information,No,5. Completely easily understood and well written,No
101,101,09/01/2023,reviewer_14,208517,reviewer_24,759492,4. Mostly clear and easy to read,Yes,Both missing and added information,No,4. Mostly clear and easy to read,No
102,102,09/01/2023,reviewer_26,740352,reviewer_16,170994,5. Completely easily understood and well written,Yes,Missing information,No,5. Completely easily understood and well written,No
103,103,09/01/2023,reviewer_16,198080,reviewer_24,673082,5. Completely easily understood and well written,No,Added information,No,5. Completely easily understood and well written,No
104,104,09/01/2023,reviewer_26,900148,reviewer_24,404876,4. Mostly clear and easy to read,Yes,Added information,No,4. Mostly clear and easy to read,No
105,105,09/01/2023,reviewer_16,215097,reviewer_24,743852,4. Mostly clear and easy to read,Yes,Added information,No,5. Completely easily understood and well written,No
106,106,09/01/2023,reviewer_16,116335,reviewer_22,627660,4. Mostly clear and easy to read,Yes,Added information,No,5. Completely easily understood and well written,No
107,107,09/01/2023,reviewer_24,1085287,reviewer_23,417344,5. Completely easily understood and well written,Yes,Added information,No,5. Completely easily understood and well written,No
108,108,09/01/2023,reviewer_7,723811,reviewer_14,203216,4. Mostly clear and easy to read,Yes,Added information,No,4. Mostly clear and easy to read,No
109,109,09/01/2023,reviewer_29,489430,reviewer_7,731817,5. Completely easily understood and well written,No,Added information,No,5. Completely easily understood and well written,No
110,110,09/01/2023,reviewer_26,847942,reviewer_24,950769,4. Mostly clear and easy to read,Yes,Added information,No,4. Mostly clear and easy to read,No
111,111,09/01/2023,reviewer_24,220218,reviewer_7,115198,5. Completely easily understood and well written,No,Added information,No,5. Completely easily understood and well written,No
112,112,09/01/2023,reviewer_7,171813,reviewer_19,111698,4. Mostly clear and easy to read,Yes,Added information,No,4. Mostly clear and easy to read,No
113,113,09/01/2023,reviewer_11,751342,reviewer_7,339732,3. Needs rereading to understand,Yes,Added information,No,4. Mostly clear and easy to read,No
114,114,09/01/2023,reviewer_11,416831,reviewer_19,429544,4. Mostly clear and easy to read,No,Nothing missing or added to translation,No,5. Completely easily understood and well written,No
115,115,09/01/2023,reviewer_26,371250,reviewer_11,496693,4. Mostly clear and easy to read,Yes,Added information,No,4. Mostly clear and easy to read,No
116,116,09/01/2023,reviewer_24,229188,reviewer_11,1071341,4. Mostly clear and easy to read,No,Both missing and added information,No,4. Mostly clear and easy to read,No
117,117,09/01/2023,reviewer_11,2564870,reviewer_14,28150,4. Mostly clear and easy to read,No,Added information,No,4. Mostly clear and easy to read,No
118,118,09/01/2023,reviewer_24,638719,reviewer_22,615729,4. Mostly clear and easy to read,Yes,Added information,No,4. Mostly clear and easy to read,No
119,119,09/01/2023,reviewer_23,401511,reviewer_11,297486,5. Completely easily understood and well written,No,Added information,No,5. Completely easily understood and well written,No
120,120,09/01/2023,reviewer_29,1934298,reviewer_24,540726,4. Mostly clear and easy to read,Yes,Both missing and added information,No,3. Needs rereading to understand,No
121,121,09/01/2023,reviewer_19,1303494,reviewer_22,1162587,4. Mostly clear and easy to read,Yes,Added information,No,3. Needs rereading to understand,No
122,122,09/01/2023,reviewer_16,192998,reviewer_14,453994,4. Mostly clear and easy to read,No,Added information,No,5. Completely easily understood and well written,No
123,123,09/01/2023,reviewer_11,1586942,reviewer_22,27511,4. Mostly clear and easy to read,Yes,Added information,No,4. Mostly clear and easy to read,No
124,124,09/01/2023,reviewer_23,671874,reviewer_29,117315,4. Mostly clear and easy to read,No,Added information,No,4. Mostly clear and easy to read,No
125,125,09/01/2023,reviewer_29,411076,reviewer_10,315080,5. Completely easily understood and well written,No,Added information,No,4. Mostly clear and easy to read,No
126,126,09/01/2023,reviewer_22,412128,reviewer_14,256846,4. Mostly clear and easy to read,No,Nothing missing or added to translation,No,4. Mostly clear and easy to read,No
127,127,09/01/2023,reviewer_16,188889,reviewer_24,643488,5. Completely easily understood and well written,Yes,Added information,No,5. Completely easily understood and well written,No
128,128,09/01/2023,reviewer_29,245170,reviewer_23,1119046,4. Mostly clear and easy to read,Yes,Added information,No,4. Mostly clear and easy to read,No
129,129,09/01/2023,reviewer_22,1300722,reviewer_7,792411,3. Needs rereading to understand,Yes,Added information,Yes,3. Needs rereading to understand,No
130,130,09/01/2023,reviewer_7,281594,reviewer_24,273253,4. Mostly clear and easy to read,No,Added information,Yes,4. Mostly clear and easy to read,No
131,131,09/01/2023,reviewer_29,891212,reviewer_23,314690,4. Mostly clear and easy to read,No,Added information,No,4. Mostly clear and easy to read,No
132,132,09/01/2023,reviewer_16,92989,reviewer_22,2243912,4. Mostly clear and easy to read,Yes,Added information,No,4. Mostly clear and easy to read,No
133,133,09/01/2023,reviewer_23,1495648,reviewer_24,34561,3. Needs rereading to understand,Yes,Both missing and added information,No,3. Needs rereading to understand,No
134,134,09/01/2023,reviewer_16,116695,reviewer_7,322907,5. Completely easily understood and well written,Yes,Added information,No,5. Completely easily understood and well written,No
135,135,09/01/2023,reviewer_7,633363,reviewer_16,97098,3. Needs rereading to understand,Yes,Added information,No,4. Mostly clear and easy to read,No
136,136,09/01/2023,reviewer_7,452393,reviewer_19,67944,4. Mostly clear and easy to read,Yes,Added information,No,4. Mostly clear and easy to read,No
137,137,09/01/2023,reviewer_2,596691,reviewer_24,64462,5. Completely easily understood and well written,No,Nothing missing or added to translation,No,5. Completely easily understood and well written,No
138,138,09/01/2023,reviewer_24,1290629,reviewer_26,299462,4. Mostly clear and easy to read,Yes,Added information,No,4. Mostly clear and easy to read,No
139,139,09/01/2023,reviewer_26,168411,reviewer_16,119416,4. Mostly clear and easy to read,Yes,Nothing missing or added to translation,No,4. Mostly clear and easy to read,No
140,140,09/01/2023,reviewer_26,120272,reviewer_16,53355,5. Completely easily understood and well written,Yes,Nothing missing or added to translation,No,5. Completely easily understood and well written,No
141,141,09/01/2023,reviewer_22,1991556,reviewer_26,369628,5. Completely easily understood and well written,No,Added information,No,5. Completely easily understood and well written,No
142,142,09/01/2023,reviewer_11,1197193,reviewer_14,22153,3. Needs rereading to understand,Yes,Added information,No,5. Completely easily understood and well written,No
143,143,09/01/2023,reviewer_11,391672,reviewer_10,61326,5. Completely easily understood and well written,No,Nothing missing or added to translation,No,4. Mostly clear and easy to read,No
144,144,09/01/2023,reviewer_26,490436,reviewer_24,178112,4. Mostly clear and easy to read,No,Added information,No,4. Mostly clear and easy to read,No
145,145,09/01/2023,reviewer_26,1128555,reviewer_7,21067,4. Mostly clear and easy to read,No,Added information,No,3. Needs rereading to understand,No
146,146,09/01/2023,reviewer_16,236119,reviewer_7,909119,4. Mostly clear and easy to read,No,Added information,No,3. Needs rereading to understand,No
147,147,09/01/2023,reviewer_7,480940,reviewer_23,453010,4. Mostly clear and easy to read,Yes,Nothing missing or added to translation,No,4. Mostly clear and easy to read,No
148,148,09/01/2023,reviewer_10,369784,reviewer_26,418094,5. Completely easily understood and well written,No,Added information,No,5. Completely easily understood and well written,No
149,149,09/01/2023,reviewer_29,24905,reviewer_7,422217,4. Mostly clear and easy to read,No,Added information,No,4. Mostly clear and easy to read,No
150,150,09/01/2023,reviewer_23,1111708,reviewer_16,44972,4. Mostly clear and easy to read,Yes,Added information,No,4. Mostly clear and easy to read,No
151,151,09/01/2023,reviewer_23,679853,reviewer_22,3255498,4. Mostly clear and easy to read,Yes,Both missing and added information,No,4. Mostly clear and easy to read,No
152,152,09/01/2023,reviewer_14,933852,reviewer_22,37959,4. Mostly clear and easy to read,Yes,Added information,Yes,4. Mostly clear and easy to read,No
153,153,09/01/2023,reviewer_10,440817,reviewer_7,461753,4. Mostly clear and easy to read,No,Added information,No,4. Mostly clear and easy to read,No
154,154,09/01/2023,reviewer_11,2839116,reviewer_7,996877,4. Mostly clear and easy to read,No,Added information,No,3. Needs rereading to understand,No
155,155,09/01/2023,reviewer_29,410274,reviewer_22,692566,4. Mostly clear and easy to read,Yes,Added information,No,4. Mostly clear and easy to read,No
156,156,09/01/2023,reviewer_19,1207583,reviewer_24,308237,5. Completely easily understood and well written,Yes,Added information,No,5. Completely easily understood and well written,No
157,157,09/01/2023,reviewer_23,1694665,reviewer_7,2760095,5. Completely easily understood and well written,No,Added information,No,4. Mostly clear and easy to read,No
158,158,09/01/2023,reviewer_22,1817233,reviewer_14,375226,4. Mostly clear and easy to read,Yes,Added information,No,4. Mostly clear and easy to read,No
159,159,09/01/2023,reviewer_7,1341670,reviewer_23,400738,4. Mostly clear and easy to read,No,Added information,No,4. Mostly clear and easy to read,No
160,160,09/01/2023,reviewer_10,736408,reviewer_16,42701,3. Needs rereading to understand,No,Added information,No,4. Mostly clear and easy to read,No
161,161,09/01/2023,reviewer_26,1461753,reviewer_29,800131,4. Mostly clear and easy to read,Yes,Added information,No,4. Mostly clear and easy to read,No
162,162,09/01/2023,reviewer_29,143902,reviewer_10,46499,5. Completely easily understood and well written,Yes,Nothing missing or added to translation,No,5. Completely easily understood and well written,No
163,163,09/01/2023,reviewer_14,557199,reviewer_26,158709,4. Mostly clear and easy to read,Yes,Both missing and added information,No,4. Mostly clear and easy to read,No
164,164,09/01/2023,reviewer_2,279346,reviewer_14,965483,4. Mostly clear and easy to read,Yes,Nothing missing or added to translation,No,5. Completely easily understood and well written,No
165,165,09/01/2023,reviewer_11,1886461,reviewer_7,293412,4. Mostly clear and easy to read,Yes,Added information,No,3. Needs rereading to understand,No
166,166,09/01/2023,reviewer_10,139232,reviewer_19,160190,5. Completely easily understood and well written,No,Added information,No,5. Completely easily understood and well written,No
167,167,09/01/2023,reviewer_10,363071,reviewer_14,1317645,5. Completely easily understood and well written,Yes,Added information,No,5. Completely easily understood and well written,No
168,168,09/01/2023,reviewer_16,222353,reviewer_26,541895,4. Mostly clear and easy to read,Yes,Added information,No,5. Completely easily understood and well written,No
169,169,09/01/2023,reviewer_16,406664,reviewer_10,290103,5. Completely easily understood and well written,No,Nothing missing or added to translation,No,5. Completely easily understood and well written,No
170,170,09/01/2023,reviewer_10,164818,reviewer_7,298365,4. Mostly clear and easy to read,Yes,Both missing and added information,No,5. Completely easily understood and well written,No
171,171,09/01/2023,reviewer_29,546065,reviewer_14,918645,4. Mostly clear and easy to read,Yes,Added information,Yes,4. Mostly clear and easy to read,No
172,172,09/01/2023,reviewer_14,306850,reviewer_16,195948,4. Mostly clear and easy to read,Yes,Both missing and added information,No,4. Mostly clear and easy to read,No
173,173,09/01/2023,reviewer_24,675937,reviewer_22,556746,4. Mostly clear and easy to read,No,Both missing and added information,No,4. Mostly clear and easy to read,No
174,174,09/01/2023,reviewer_23,1005509,reviewer_19,59573,4. Mostly clear and easy to read,No,Both missing and added information,No,3. Needs rereading to understand,No
175,175,09/01/2023,reviewer_26,2678582,reviewer_29,950117,2. Difficult to understand,No,Both missing and added information,No,4. Mostly clear and easy to read,No
176,176,09/01/2023,reviewer_24,403261,reviewer_23,535057,4. Mostly clear and easy to read,No,Added information,No,5. Completely easily understood and well written,No
177,177,09/01/2023,reviewer_10,320527,reviewer_24,715023,5. Completely easily understood and well written,Yes,Added information,No,5. Completely easily understood and well written,No
178,178,09/01/2023,reviewer_23,675540,reviewer_16,55752,5. Completely easily understood and well written,Yes,Added information,No,5. Completely easily understood and well written,No
179,179,09/01/2023,reviewer_26,1066649,reviewer_11,503759,4. Mostly clear and easy to read,No,Added information,No,4. Mostly clear and easy to read,No
180,180,09/01/2023,reviewer_11,1702349,reviewer_29,55012,4. Mostly clear and easy to read,Yes,Added information,No,4. Mostly clear and easy to read,No
181,181,09/01/2023,reviewer_29,884795,reviewer_11,880744,3. Needs rereading to understand,Yes,Added information,No,3. Needs rereading to understand,No
182,182,09/01/2023,reviewer_2,1060082,reviewer_19,838545,5. Completely easily understood and well written,No,Nothing missing or added to translation,No,5. Completely easily understood and well written,No
183,183,09/01/2023,reviewer_2,1529588,reviewer_16,173231,5. Completely easily understood and well written,No,Nothing missing or added to translation,No,5. Completely easily understood and well written,No
184,184,09/01/2023,reviewer_11,287521,reviewer_22,110407,4. Mostly clear and easy to read,Yes,Added information,No,4. Mostly clear and easy to read,No
185,185,09/01/2023,reviewer_29,16726,reviewer_26,276799,4. Mostly clear and easy to read,Yes,Added information,No,4. Mostly clear and easy to read,No
186,186,09/01/2023,reviewer_11,1037520,reviewer_22,1952520,4. Mostly clear and easy to read,Yes,Added information,No,4. Mostly clear and easy to read,No
187,187,09/01/2023,reviewer_29,483838,reviewer_11,1435709,4. Mostly clear and easy to read,No,Added information,No,4. Mostly clear and easy to read,No
188,188,09/01/2023,reviewer_24,1624672,reviewer_23,25878,3. Needs rereading to understand,No,Added information,No,3. Needs rereading to understand,No
189,189,09/01/2023,reviewer_19,1091622,reviewer_23,1371047,4. Mostly clear and easy to read,No,Both missing and added information,No,4. Mostly clear and easy to read,No
190,190,09/01/2023,reviewer_22,3328085,reviewer_23,786430,4. Mostly clear and easy to read,No,Both missing and added information,No,4. Mostly clear and easy to read,No
191,191,09/01/2023,reviewer_7,390088,reviewer_29,126830,5. Completely easily understood and well written,Yes,Added information,No,5. Completely easily understood and well written,No
192,192,09/01/2023,reviewer_11,351122,reviewer_24,296310,5. Completely easily understood and well written,Yes,Nothing missing or added to translation,No,5. Completely easily understood and well written,No
193,193,09/01/2023,reviewer_7,187496,reviewer_16,72905,4. Mostly clear and easy to read,Yes,Added information,No,4. Mostly clear and easy to read,No
194,194,09/01/2023,reviewer_29,953774,reviewer_11,368204,4. Mostly clear and easy to read,Yes,Added information,No,4. Mostly clear and easy to read,No
